frame,second,predicted_class_max,pushup,abworkout,squat,pullup,run,jump,rest,totalcounter
197,8.208333333333334,pushup,1,2,0,0,0,0,0,3
199,8.291666666666666,pushup,1,2,0,0,0,0,0,3
201,8.375,pushup,1,2,0,0,0,0,0,3
203,8.458333333333334,pushup,1,2,0,0,0,0,0,3
205,8.541666666666666,pushup,1,2,0,0,0,0,0,3
207,8.625,pushup,1,2,0,0,0,0,0,3
209,8.708333333333334,pushup,1,2,0,0,0,0,0,3
211,8.791666666666666,pushup,1,2,0,0,0,0,0,3
213,8.875,pushup,1,2,0,0,0,0,0,3
215,8.958333333333334,pushup,1,2,0,0,0,0,0,3
217,9.041666666666666,pushup,1,2,0,0,0,0,0,3
219,9.125,pushup,1,2,0,0,0,0,0,3
221,9.208333333333334,pushup,1,2,0,0,0,0,0,3
223,9.291666666666666,pushup,1,2,0,0,0,0,0,3
225,9.375,pushup,1,2,0,0,0,0,0,3
227,9.458333333333334,pushup,1,2,0,0,0,0,0,3
229,9.541666666666666,pushup,1,2,0,0,0,0,0,3
231,9.625,pushup,1,2,0,0,0,0,0,3
233,9.708333333333334,pushup,1,2,0,0,0,0,0,3
235,9.791666666666666,pushup,1,2,0,0,0,0,0,3
237,9.875,pushup,1,2,0,0,0,0,0,3
239,9.958333333333334,pushup,1,2,0,0,0,0,0,3
241,10.041666666666666,pushup,2,2,0,0,0,0,0,4
243,10.125,pushup,2,2,0,0,0,0,0,4
245,10.208333333333334,pushup,2,2,0,0,0,0,0,4
247,10.291666666666666,pushup,2,2,0,0,0,0,0,4
249,10.375,pushup,2,2,0,0,0,0,0,4
251,10.458333333333334,pushup,2,2,0,0,0,0,0,4
253,10.541666666666666,pushup,2,2,0,0,0,0,0,4
255,10.625,pushup,2,2,0,0,0,0,0,4
257,10.708333333333334,pushup,2,2,0,0,0,0,0,4
259,10.791666666666666,pushup,2,2,0,0,0,0,0,4
261,10.875,pushup,2,2,0,0,0,0,0,4
263,10.958333333333334,pushup,2,2,0,0,0,0,0,4
265,11.041666666666666,pushup,2,2,0,0,0,0,0,4
267,11.125,pushup,2,2,0,0,0,0,0,4
269,11.208333333333334,pushup,2,2,0,0,0,0,0,4
271,11.291666666666666,pushup,2,2,0,0,0,0,0,4
273,11.375,pushup,2,2,0,0,0,0,0,4
275,11.458333333333334,pushup,2,2,0,0,0,0,0,4
277,11.541666666666666,pushup,2,2,0,0,0,0,0,4
279,11.625,pushup,2,2,0,0,0,0,0,4
281,11.708333333333334,pushup,2,2,0,0,0,0,0,4
283,11.791666666666666,pushup,2,2,0,0,0,0,0,4
285,11.875,pushup,2,2,0,0,0,0,0,4
287,11.958333333333334,pushup,2,2,0,0,0,0,0,4
289,12.041666666666666,pushup,2,2,0,0,0,0,0,4
291,12.125,pushup,2,2,0,0,0,0,0,4
293,12.208333333333334,pushup,2,2,0,0,0,0,0,4
295,12.291666666666666,pushup,2,2,0,0,0,0,0,4
297,12.375,pushup,2,2,0,0,0,0,0,4
299,12.458333333333334,pushup,2,2,0,0,0,0,0,4
301,12.541666666666666,pushup,2,2,0,0,0,0,0,4
303,12.625,pushup,3,2,0,0,0,0,0,5
305,12.708333333333334,pushup,3,2,0,0,0,0,0,5
307,12.791666666666666,pushup,3,2,0,0,0,0,0,5
309,12.875,pushup,3,2,0,0,0,0,0,5
311,12.958333333333334,pushup,3,2,0,0,0,0,0,5
313,13.041666666666666,pushup,3,2,0,0,0,0,0,5
315,13.125,pushup,3,2,0,0,0,0,0,5
317,13.208333333333334,pushup,3,2,0,0,0,0,0,5
319,13.291666666666666,pushup,3,2,0,0,0,0,0,5
321,13.375,pushup,3,2,0,0,0,0,0,5
323,13.458333333333334,pushup,3,2,0,0,0,0,0,5
325,13.541666666666666,pushup,3,2,0,0,0,0,0,5
327,13.625,pushup,3,2,0,0,0,0,0,5
329,13.708333333333334,pushup,3,2,0,0,0,0,0,5
331,13.791666666666666,pushup,3,2,0,0,0,0,0,5
333,13.875,pushup,3,2,0,0,0,0,0,5
335,13.958333333333334,pushup,3,2,0,0,0,0,0,5
337,14.041666666666666,pushup,3,2,0,0,0,0,0,5
339,14.125,pushup,3,2,0,0,0,0,0,5
341,14.208333333333334,pushup,3,2,0,0,0,0,0,5
343,14.291666666666666,pushup,3,2,0,0,0,0,0,5
345,14.375,pushup,3,2,0,0,0,0,0,5
347,14.458333333333334,pushup,3,2,0,0,0,0,0,5
349,14.541666666666666,pushup,3,2,0,0,0,0,0,5
351,14.625,pushup,3,2,0,0,0,0,0,5
353,14.708333333333334,pushup,3,2,0,0,0,0,0,5
355,14.791666666666666,pushup,3,2,0,0,0,0,0,5
357,14.875,pushup,3,2,0,0,0,0,0,5
359,14.958333333333334,pushup,3,2,0,0,0,0,0,5
361,15.041666666666666,pushup,3,2,0,0,0,0,0,5
363,15.125,pushup,4,2,0,0,0,0,0,6
365,15.208333333333334,pushup,4,2,0,0,0,0,0,6
367,15.291666666666666,pushup,4,2,0,0,0,0,0,6
369,15.375,pushup,4,2,0,0,0,0,0,6
371,15.458333333333334,pushup,4,2,0,0,0,0,0,6
373,15.541666666666666,pushup,4,2,0,0,0,0,0,6
375,15.625,pushup,4,2,0,0,0,0,0,6
377,15.708333333333334,pushup,4,2,0,0,0,0,0,6
379,15.791666666666666,pushup,4,2,0,0,0,0,0,6
381,15.875,pushup,4,2,0,0,0,0,0,6
383,15.958333333333334,pushup,4,2,0,0,0,0,0,6
385,16.041666666666668,pushup,4,2,0,0,0,0,0,6
387,16.125,pushup,4,2,0,0,0,0,0,6
389,16.208333333333332,pushup,4,2,0,0,0,0,0,6
391,16.291666666666668,pushup,4,2,0,0,0,0,0,6
393,16.375,pushup,4,2,0,0,0,0,0,6
395,16.458333333333332,pushup,4,2,0,0,0,0,0,6
397,16.541666666666668,pushup,4,2,0,0,0,0,0,6
399,16.625,pushup,4,2,0,0,0,0,0,6
401,16.708333333333332,pushup,4,2,0,0,0,0,0,6
403,16.791666666666668,pushup,4,2,0,0,0,0,0,6
405,16.875,pushup,4,2,0,0,0,0,0,6
407,16.958333333333332,pushup,4,2,0,0,0,0,0,6
409,17.041666666666668,pushup,4,2,0,0,0,0,0,6
411,17.125,pushup,4,2,0,0,0,0,0,6
413,17.208333333333332,pushup,4,2,0,0,0,0,0,6
415,17.291666666666668,pushup,4,2,0,0,0,0,0,6
417,17.375,pushup,4,2,0,0,0,0,0,6
419,17.458333333333332,pushup,4,2,0,0,0,0,0,6
421,17.541666666666668,pushup,4,2,0,0,0,0,0,6
423,17.625,run,4,2,0,0,1,0,0,7
425,17.708333333333332,run,4,2,0,0,1,0,0,7
427,17.791666666666668,run,4,2,0,0,1,0,0,7
429,17.875,run,4,2,0,0,1,0,0,7
431,17.958333333333332,run,4,2,0,0,1,0,0,7
433,18.041666666666668,run,4,2,0,0,1,0,0,7
435,18.125,run,4,2,0,0,1,0,0,7
437,18.208333333333332,run,4,2,0,0,1,0,0,7
439,18.291666666666668,run,4,2,0,0,1,0,0,7
441,18.375,run,4,2,0,0,1,0,0,7
443,18.458333333333332,run,4,2,0,0,1,0,0,7
445,18.541666666666668,run,4,2,0,0,1,0,0,7
447,18.625,run,4,2,0,0,1,0,0,7
449,18.708333333333332,run,4,2,0,0,1,0,0,7
451,18.791666666666668,run,4,2,0,0,1,0,0,7
453,18.875,run,4,2,0,0,1,0,0,7
455,18.958333333333332,run,4,2,0,0,1,0,0,7
457,19.041666666666668,run,4,2,0,0,1,0,0,7
459,19.125,run,4,2,0,0,1,0,0,7
461,19.208333333333332,run,4,2,0,0,1,0,0,7
463,19.291666666666668,run,4,2,0,0,1,0,0,7
465,19.375,run,4,2,0,0,1,0,0,7
467,19.458333333333332,run,4,2,0,0,1,0,0,7
469,19.541666666666668,run,4,2,0,0,1,0,0,7
471,19.625,run,4,2,0,0,1,0,0,7
473,19.708333333333332,run,4,2,0,0,1,0,0,7
